(('17.05', u'Offline'), 1)
(('17.06', u'Offline'), 1)
(('17.07', u'Active'), 150)
(('17.07', u'Offline'), 477)
(('17.08', u'Active'), 13)
(('17.08', u'Offline'), 748)
(('17.09', u'Active'), 69)
(('17.09', u'Offline'), 561)
(('17.10', u'Active'), 3)
(('17.10', u'Offline'), 519)
(('17.11', u'Active'), 6)
(('17.11', u'Offline'), 677)
(('17.12', u'Active'), 345)
(('17.12', u'Offline'), 284)
(('18.01', u'Active'), 272)
(('18.01', u'Offline'), 1049)
(('18.02', u'Active'), 132)
(('18.02', u'Inactive'), 20)
(('18.02', u'Offline'), 607)
(('18.02', u'Suspended'), 3)
(('18.03', u'Active'), 59)
(('18.03', u'Offline'), 187)
(('18.03', u'Suspended'), 8)
(('18.04', u'Active'), 4)
(('18.04', u'Inactive'), 1)
(('18.04', u'Offline'), 473)
(('18.05', u'Active'), 91)
(('18.05', u'Offline'), 570)
(('18.06', u'Active'), 186)
(('18.06', u'Offline'), 459)
(('18.07', u'Active'), 1)
(('18.07', u'Offline'), 149)
(('18.08', u'Offline'), 75)
(('18.09', u'Offline'), 21)
(('18.10', u'Active'), 5)
(('18.10', u'Offline'), 18)
(('18.11', u'Active'), 37)
(('18.11', u'Offline'), 8)
(('18.12', u'Active'), 29)
(('18.12', u'Offline'), 19)
(('19.01', u'Active'), 2)
(('19.01', u'Offline'), 13)
(('19.02', u'Active'), 5)
(('19.02', u'Offline'), 68)
(('19.03', u'Active'), 40)
(('19.03', u'Inactive'), 1)
(('19.03', u'Offline'), 22)
(('19.04', u'Active'), 12)
(('19.04', u'Offline'), 82)
(('19.05', u'Active'), 17)
(('19.05', u'Offline'), 28)
(('19.06', u'Offline'), 12)
