('17.06', 950998.0)
('17.07', 285077267.0)
('17.08', 3169557.0)
('17.09', 22516938.0)
('17.10', 88803856.0)
('17.11', 11847000.0)
('17.12', 7233833.0)
('18.01', 14399172.0)
('18.02', 43659194.0)
('18.03', 122578520.0)
('18.04', 97431114.0)
('18.05', 94757315.0)
('18.06', 84482973.0)
('18.07', 57865222.0)
('18.08', 35755441.0)
('18.09', 9654606702.0)
('18.10', 7708689998.0)
('18.11', 118635133.0)
('18.12', 41343553.0)
('19.01', 18679939.0)
('19.02', 16042218.0)
('19.03', 124081026.0)
('19.04', 97126874.0)
('19.05', 49156426.0)
('19.06', 7664333.0)
